symbol	price	datetime
SCTY	21.9	2016-03-28 13:22:00
SCTY	21.87	2016-03-28 13:23:00
SCTY	21.87	2016-03-28 13:24:00
SCTY	21.85	2016-03-28 13:25:00
SCTY	21.81	2016-03-28 13:26:00
SCTY	21.8	2016-03-28 13:27:00
SCTY	21.85	2016-03-28 13:28:00
SCTY	21.8	2016-03-28 13:29:00
SCTY	21.82	2016-03-28 13:30:00
SCTY	21.83	2016-03-28 13:31:00
SCTY	21.86	2016-03-28 13:32:00
SCTY	21.88	2016-03-28 13:33:00
SCTY	21.83	2016-03-28 13:34:00
SCTY	21.81	2016-03-28 13:35:00
SCTY	21.81	2016-03-28 13:36:00
SCTY	21.81	2016-03-28 13:37:00
SCTY	21.83	2016-03-28 13:38:00
SCTY	21.85	2016-03-28 13:39:00
SCTY	21.83	2016-03-28 13:40:00
SCTY	21.86	2016-03-28 13:41:00
SCTY	21.83	2016-03-28 13:42:00
SCTY	21.81	2016-03-28 13:43:00
SCTY	21.8	2016-03-28 13:44:00
SCTY	21.82	2016-03-28 13:45:00
SCTY	21.77	2016-03-28 13:46:00
SCTY	21.76	2016-03-28 13:47:00
SCTY	21.75	2016-03-28 13:48:00
SCTY	21.74	2016-03-28 13:49:00
SCTY	21.74	2016-03-28 13:50:00
SCTY	21.78	2016-03-28 13:51:00
SCTY	21.8	2016-03-28 13:52:00
SCTY	21.79	2016-03-28 13:53:00
SCTY	21.83	2016-03-28 13:54:00
SCTY	21.8	2016-03-28 13:55:00
SCTY	21.87	2016-03-28 13:56:00
SCTY	21.81	2016-03-28 13:57:00
SCTY	21.78	2016-03-28 13:58:00
SCTY	21.78	2016-03-28 13:59:00
SCTY	21.75	2016-03-28 14:00:00
SCTY	21.74	2016-03-28 14:01:00
SCTY	21.74	2016-03-28 14:02:00
SCTY	21.77	2016-03-28 14:03:00
SCTY	21.76	2016-03-28 14:04:00
SCTY	21.76	2016-03-28 14:05:00
SCTY	21.8	2016-03-28 14:06:00
SCTY	21.8	2016-03-28 14:07:00
SCTY	21.81	2016-03-28 14:08:00
SCTY	21.78	2016-03-28 14:09:00
SCTY	21.76	2016-03-28 14:10:00
SCTY	21.79	2016-03-28 14:11:00
SCTY	21.73	2016-03-28 14:12:00
SCTY	21.68	2016-03-28 14:13:00
SCTY	21.69	2016-03-28 14:14:00
SCTY	21.68	2016-03-28 14:15:00
SCTY	21.71	2016-03-28 14:16:00
SCTY	21.72	2016-03-28 14:17:00
SCTY	21.66	2016-03-28 14:18:00
SCTY	21.64	2016-03-28 14:19:00
SCTY	21.7	2016-03-28 14:20:00
SCTY	21.63	2016-03-28 14:21:00
SCTY	21.61	2016-03-28 14:22:00
SCTY	21.61	2016-03-28 14:23:00
SCTY	21.6	2016-03-28 14:24:00
SCTY	21.65	2016-03-28 14:25:00
SCTY	21.65	2016-03-28 14:26:00
SCTY	21.64	2016-03-28 14:27:00
SCTY	21.6	2016-03-28 14:28:00
SCTY	21.61	2016-03-28 14:29:00
SCTY	21.64	2016-03-28 14:30:00
SCTY	21.65	2016-03-28 14:31:00
SCTY	21.66	2016-03-28 14:32:00
SCTY	21.66	2016-03-28 14:33:00
SCTY	21.71	2016-03-28 14:34:00
SCTY	21.73	2016-03-28 14:35:00
SCTY	21.72	2016-03-28 14:36:00
SCTY	21.72	2016-03-28 14:37:00
SCTY	21.71	2016-03-28 14:38:00
SCTY	21.69	2016-03-28 14:39:00
SCTY	21.7	2016-03-28 14:40:00
SCTY	21.7	2016-03-28 14:41:00
SCTY	21.68	2016-03-28 14:42:00
SCTY	21.67	2016-03-28 14:43:00
SCTY	21.68	2016-03-28 14:44:00
SCTY	21.68	2016-03-28 14:45:00
SCTY	21.66	2016-03-28 14:46:00
SCTY	21.67	2016-03-28 14:47:00
SCTY	21.65	2016-03-28 14:48:00
SCTY	21.65	2016-03-28 14:49:00
SCTY	21.61	2016-03-28 14:50:00
SCTY	21.65	2016-03-28 14:51:00
SCTY	21.63	2016-03-28 14:52:00
SCTY	21.63	2016-03-28 14:53:00
SCTY	21.62	2016-03-28 14:54:00
SCTY	21.64	2016-03-28 14:55:00
SCTY	21.63	2016-03-28 14:56:00
SCTY	21.67	2016-03-28 14:57:00
SCTY	21.66	2016-03-28 14:58:00
SCTY	21.69	2016-03-28 14:59:00
SCTY	21.72	2016-03-28 15:00:00
SCTY	21.73	2016-03-28 15:01:00
SCTY	21.73	2016-03-28 15:02:00
SCTY	21.7	2016-03-28 15:03:00
SCTY	21.7	2016-03-28 15:04:00
SCTY	21.64	2016-03-28 15:05:00
SCTY	21.64	2016-03-28 15:06:00
SCTY	21.66	2016-03-28 15:07:00
SCTY	21.67	2016-03-28 15:08:00
SCTY	21.69	2016-03-28 15:09:00
SCTY	21.68	2016-03-28 15:10:00
SCTY	21.68	2016-03-28 15:11:00
SCTY	21.69	2016-03-28 15:12:00
SCTY	21.65	2016-03-28 15:13:00
SCTY	21.66	2016-03-28 15:14:00
SCTY	21.62	2016-03-28 15:15:00
SCTY	21.62	2016-03-28 15:16:00
SCTY	21.61	2016-03-28 15:17:00
SCTY	21.61	2016-03-28 15:18:00
SCTY	21.6	2016-03-28 15:19:00
SCTY	21.65	2016-03-28 15:20:00
SCTY	21.62	2016-03-28 15:21:00
SCTY	21.66	2016-03-28 15:22:00
SCTY	21.63	2016-03-28 15:23:00
SCTY	21.65	2016-03-28 15:24:00
SCTY	21.63	2016-03-28 15:25:00
SCTY	21.57	2016-03-28 15:26:00
SCTY	21.58	2016-03-28 15:27:00
SCTY	21.58	2016-03-28 15:28:00
SCTY	21.57	2016-03-28 15:29:00
SCTY	21.57	2016-03-28 15:30:00
